title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
Aliens (1986),3.9471830985915495,284,Alien (1979),William Shakespeare's Romeo and Juliet (1996),"Mask, The (1994)",Good Will Hunting (1997)
All About Eve (1950),4.045454545454546,66,Kiss the Girls (1997),Seven Years in Tibet (1997),Fly Away Home (1996),Executive Decision (1996)
All Dogs Go to Heaven 2 (1996),1.8666666666666667,15,"Room with a View, A (1986)",Sleepers (1996),Air Force One (1997),"Edge, The (1997)"
All Over Me (1997),3.0,3,,,,
All Things Fair (1996),3.0,1,,,,
Alphaville (1965),3.3333333333333335,12,Star Trek: First Contact (1996),Starship Troopers (1997),Star Trek: The Wrath of Khan (1982),Dante's Peak (1997)
Amadeus (1984),4.163043478260869,276,Henry V (1989),Miracle on 34th Street (1994),"Boot, Das (1981)",William Shakespeare's Romeo and Juliet (1996)
Amateur (1994),3.1666666666666665,18,Amistad (1997),Down Periscope (1996),Michael (1996),"Edge, The (1997)"
"Amazing Panda Adventure, The (1995)",2.8,10,"Ghost and the Darkness, The (1996)",Henry V (1989),Swingers (1996),Mystery Science Theater 3000: The Movie (1996)
American Buffalo (1996),2.6363636363636362,11,"Edge, The (1997)",Bram Stoker's Dracula (1992),"Sex, Lies, and Videotape (1989)",Wag the Dog (1997)
American Dream (1990),2.5,2,"Adventures of Priscilla, Queen of the Desert, The (1994)",Alien (1979),Aliens (1986),Annie Hall (1977)
"American President, The (1995)",3.6280487804878048,164,G.I. Jane (1997),Dave (1993),Michael (1996),"Firm, The (1993)"
American Strays (1996),2.0,2,"Postino, Il (1994)","English Patient, The (1996)",Twister (1996),Beavis and Butt-head Do America (1996)
"American Werewolf in London, An (1981)",3.5353535353535355,99,Kolya (1996),True Romance (1993),"Adventures of Priscilla, Queen of the Desert, The (1994)",Ulee's Gold (1997)
"American in Paris, An (1951)",3.7,50,Con Air (1997),Shine (1996),Spawn (1997),Heat (1995)
Amistad (1997),3.8548387096774195,124,"Frighteners, The (1996)",In the Name of the Father (1993),Fried Green Tomatoes (1991),Ghost (1990)
Amityville 1992: It's About Time (1992),1.0,5,,,,
Amityville 3-D (1983),1.1666666666666667,6,My Fair Lady (1964),"Time to Kill, A (1996)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Amadeus (1984)
"Amityville Curse, The (1990)",1.25,4,Bram Stoker's Dracula (1992),"Nightmare Before Christmas, The (1993)",My Fair Lady (1964),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"Amityville Horror, The (1979)",2.5660377358490565,53,In & Out (1997),My Best Friend's Wedding (1997),Emma (1996),"Last of the Mohicans, The (1992)"
Amityville II: The Possession (1982),1.6428571428571428,14,Fly Away Home (1996),Little Women (1994),Murder at 1600 (1997),Father of the Bride Part II (1995)
Amityville: A New Generation (1993),1.0,5,,,,
Amityville: Dollhouse (1996),1.0,3,,,,
Amos & Andrew (1993),2.6842105263157894,19,Event Horizon (1997),Alien: Resurrection (1997),My Best Friend's Wedding (1997),Shine (1996)
An Unforgettable Summer (1994),2.5,4,James and the Giant Peach (1996),Rosewood (1997),Rumble in the Bronx (1995),Kolya (1996)
Anaconda (1997),2.289473684210526,38,Bonnie and Clyde (1967),Down Periscope (1996),Father of the Bride Part II (1995),Beavis and Butt-head Do America (1996)
Anastasia (1997),3.4242424242424243,66,Arsenic and Old Lace (1944),Cinderella (1950),Pink Floyd - The Wall (1982),"Abyss, The (1989)"
Andre (1994),3.111111111111111,18,Boogie Nights (1997),"Edge, The (1997)",Event Horizon (1997),Kolya (1996)
Angel Baby (1995),3.75,4,"Boot, Das (1981)",Ulee's Gold (1997),Jackie Brown (1997),L.A. Confidential (1997)
Angel and the Badman (1947),3.0,6,Monty Python's Life of Brian (1979),Ed Wood (1994),Pinocchio (1940),Mr. Smith Goes to Washington (1939)
Angel on My Shoulder (1946),2.0,1,,,,
Angela (1995),3.0,1,,,,
Angels and Insects (1995),3.4166666666666665,72,True Romance (1993),Dumbo (1941),James and the Giant Peach (1996),Apt Pupil (1998)
Angels in the Outfield (1994),2.923076923076923,39,Spawn (1997),"Wrong Trousers, The (1993)",Cold Comfort Farm (1995),Cinema Paradiso (1988)
Angus (1995),2.642857142857143,14,"Craft, The (1996)",Lawrence of Arabia (1962),Being There (1979),"Killing Fields, The (1984)"
Anna (1996),4.5,2,Cold Comfort Farm (1995),Aladdin (1992),"American President, The (1995)",Batman Returns (1992)
Anna Karenina (1997),3.090909090909091,33,Batman Returns (1992),Michael (1996),Henry V (1989),Pinocchio (1940)
Anne Frank Remembered (1995),3.857142857142857,21,Singin' in the Rain (1952),"African Queen, The (1951)","Remains of the Day, The (1993)","Peacemaker, The (1997)"
Annie Hall (1977),3.911111111111111,180,"Sex, Lies, and Videotape (1989)",Everyone Says I Love You (1996),Star Trek III: The Search for Spock (1984),"Room with a View, A (1986)"
Another Stakeout (1993),2.5,28,Mother (1996),Father of the Bride Part II (1995),Maverick (1994),"Hunchback of Notre Dame, The (1996)"
Antonia's Line (1995),3.9565217391304346,69,Lost Highway (1997),Kiss the Girls (1997),Executive Decision (1996),G.I. Jane (1997)
Aparajito (1956),3.5714285714285716,7,Quiz Show (1994),"Lion King, The (1994)",Lawrence of Arabia (1962),"Good, The Bad and The Ugly, The (1966)"
"Apartment, The (1960)",3.9365079365079363,63,"Long Kiss Goodnight, The (1996)","Peacemaker, The (1997)",Rumble in the Bronx (1995),Young Guns (1988)
Apocalypse Now (1979),4.04524886877828,221,"Deer Hunter, The (1978)",GoodFellas (1990),On Golden Pond (1981),Being There (1979)
Apollo 13 (1995),3.931159420289855,276,Michael (1996),"Peacemaker, The (1997)",G.I. Jane (1997),Wag the Dog (1997)
"Apostle, The (1997)",3.6545454545454548,55,"Nightmare Before Christmas, The (1993)",Father of the Bride Part II (1995),"Adventures of Priscilla, Queen of the Desert, The (1994)","Remains of the Day, The (1993)"
"Apple Dumpling Gang, The (1975)",2.84,25,Kolya (1996),"Ghost and the Darkness, The (1996)",Event Horizon (1997),Everyone Says I Love You (1996)
April Fool's Day (1986),2.6666666666666665,15,Courage Under Fire (1996),Rumble in the Bronx (1995),"Remains of the Day, The (1993)",George of the Jungle (1997)
Apt Pupil (1998),4.1,160,As Good As It Gets (1997),"Mask, The (1994)",Dave (1993),Clear and Present Danger (1994)
"Aristocats, The (1970)",3.1296296296296298,54,"Peacemaker, The (1997)","Rainmaker, The (1997)",Grumpier Old Men (1995),Jackie Brown (1997)
Army of Darkness (1993),3.4310344827586206,116,Ulee's Gold (1997),"Full Monty, The (1997)","Wrong Trousers, The (1993)",Austin Powers: International Man of Mystery (1997)
Around the World in 80 Days (1956),3.6610169491525424,59,Kolya (1996),Rosewood (1997),Cop Land (1997),Mimic (1997)
"Arrival, The (1996)",3.036144578313253,83,Fried Green Tomatoes (1991),Tombstone (1993),Spawn (1997),Real Genius (1985)
Arsenic and Old Lace (1944),4.078260869565217,115,In & Out (1997),Grosse Pointe Blank (1997),Down Periscope (1996),"Hunchback of Notre Dame, The (1996)"
As Good As It Gets (1997),4.196428571428571,112,Apt Pupil (1998),"Mask, The (1994)",Batman Forever (1995),Glory (1989)
Assassins (1995),2.871794871794872,39,Father of the Bride Part II (1995),Starship Troopers (1997),"Ghost and the Darkness, The (1996)","Deer Hunter, The (1978)"
"Assignment, The (1997)",3.5,18,Beavis and Butt-head Do America (1996),Jackie Chan's First Strike (1996),Eraser (1996),Cool Hand Luke (1967)
"Associate, The (1996)",3.2439024390243905,41,Nikita (La Femme Nikita) (1990),Raging Bull (1980),Patton (1970),Die Hard 2 (1990)
Audrey Rose (1977),2.1666666666666665,12,Seven Years in Tibet (1997),"Craft, The (1996)",Bound (1996),"Edge, The (1997)"
August (1996),1.0,1,,,,
Austin Powers: International Man of Mystery (1997),3.246153846153846,130,Gone with the Wind (1939),Happy Gilmore (1996),Mary Poppins (1964),Primal Fear (1996)
"Awfully Big Adventure, An (1995)",2.375,8,Citizen Kane (1941),"Close Shave, A (1995)","Ice Storm, The (1997)",Gone with the Wind (1939)
Ayn Rand: A Sense of Life (1997),3.142857142857143,7,Scream 2 (1997),Volcano (1997),Evita (1996),Crash (1996)
B*A*P*S (1997),1.6666666666666667,3,Executive Decision (1996),Eraser (1996),Courage Under Fire (1996),Star Trek: First Contact (1996)
B. Monkey (1998),3.0,1,,,,
Babe (1995),3.9954337899543377,219,"Peacemaker, The (1997)",Batman Returns (1992),"Lost World: Jurassic Park, The (1997)",Cinderella (1950)
"Baby-Sitters Club, The (1995)",2.5,10,Secrets & Lies (1996),Chinatown (1974),Being There (1979),"Ice Storm, The (1997)"
Babyfever (1994),1.0,2,,,,
"Babysitter, The (1995)",2.3333333333333335,3,Dante's Peak (1997),"Craft, The (1996)",Eraser (1996),"Rock, The (1996)"
Back to the Future (1985),3.834285714285714,350,Speed (1994),Pretty Woman (1990),Michael (1996),"Frighteners, The (1996)"
Backbeat (1993),3.473684210526316,19,Down Periscope (1996),Benny & Joon (1993),Arsenic and Old Lace (1944),Dante's Peak (1997)
Bad Boys (1995),3.1052631578947367,57,Fly Away Home (1996),Jungle2Jungle (1997),Everyone Says I Love You (1996),"Peacemaker, The (1997)"
Bad Company (1995),2.2222222222222223,9,Wag the Dog (1997),"Sex, Lies, and Videotape (1989)",Rear Window (1954),Reservoir Dogs (1992)
Bad Girls (1994),1.8333333333333333,6,Crimson Tide (1995),"Hudsucker Proxy, The (1994)","Remains of the Day, The (1993)",Some Like It Hot (1959)
Bad Moon (1996),2.6666666666666665,6,Alien (1979),Aliens (1986),"African Queen, The (1951)",Ace Ventura: Pet Detective (1994)
Bad Taste (1987),3.375,16,"Remains of the Day, The (1993)","Room with a View, A (1986)",My Fair Lady (1964),Courage Under Fire (1996)
"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,4,Ulee's Gold (1997),"Close Shave, A (1995)",Emma (1996),Heat (1995)
Balto (1995),3.0,16,Shine (1996),Cinema Paradiso (1988),Crash (1996),Mighty Aphrodite (1995)
Bananas (1971),3.7017543859649122,57,"Craft, The (1996)",Wag the Dog (1997),"Lost World: Jurassic Park, The (1997)",One Fine Day (1996)
"Band Wagon, The (1953)",3.6666666666666665,9,Conspiracy Theory (1997),Four Weddings and a Funeral (1994),"Hunchback of Notre Dame, The (1996)",Dumbo (1941)
Barb Wire (1996),1.9333333333333333,30,"Ice Storm, The (1997)",Amistad (1997),G.I. Jane (1997),Michael (1996)
Barbarella (1968),2.5714285714285716,28,"Close Shave, A (1995)","Rainmaker, The (1997)",Big Night (1996),Fly Away Home (1996)
Barcelona (1994),3.018867924528302,53,Outbreak (1995),Tombstone (1993),One Fine Day (1996),True Romance (1993)
Basic Instinct (1992),3.227722772277228,101,"Ice Storm, The (1997)","Boot, Das (1981)",Spawn (1997),Under Siege (1992)
"Basketball Diaries, The (1995)",3.425,40,"Peacemaker, The (1997)",G.I. Jane (1997),My Fair Lady (1964),Murder at 1600 (1997)
Basquiat (1996),3.25,44,Mother (1996),Beautiful Girls (1996),"Peacemaker, The (1997)",Lost Highway (1997)
Bastard Out of Carolina (1996),2.875,16,One Fine Day (1996),Maverick (1994),"Ghost and the Darkness, The (1996)",Absolute Power (1997)
Batman & Robin (1997),2.4516129032258065,62,Batman Forever (1995),"Philadelphia Story, The (1940)",Good Will Hunting (1997),GoldenEye (1995)
Batman (1989),3.427860696517413,201,Alien: Resurrection (1997),Scream 2 (1997),Good Will Hunting (1997),Cold Comfort Farm (1995)
Batman Forever (1995),2.6666666666666665,114,Down Periscope (1996),Jungle2Jungle (1997),As Good As It Gets (1997),"Net, The (1995)"
Batman Returns (1992),2.683098591549296,142,Michael (1996),Fly Away Home (1996),"Peacemaker, The (1997)",Batman (1989)
Baton Rouge (1988),1.0,1,,,,
Bean (1997),2.659340659340659,91,On Golden Pond (1981),Strictly Ballroom (1992),"Killing Fields, The (1984)","Craft, The (1996)"
"Beans of Egypt, Maine, The (1994)",3.5,2,Alien: Resurrection (1997),Apocalypse Now (1979),Back to the Future (1985),"Blues Brothers, The (1980)"
Beat the Devil (1954),3.7142857142857144,7,Star Trek IV: The Voyage Home (1986),Sneakers (1992),Primal Fear (1996),Apt Pupil (1998)
"Beautician and the Beast, The (1997)",2.313953488372093,86,Under Siege (1992),"Mask, The (1994)",In the Name of the Father (1993),GoldenEye (1995)
Beautiful Girls (1996),3.391304347826087,115,Lawrence of Arabia (1962),Full Metal Jacket (1987),"Maltese Falcon, The (1941)",Die Hard: With a Vengeance (1995)
Beautiful Thing (1996),3.9655172413793105,29,"Magnificent Seven, The (1954)",Patton (1970),Dragonheart (1996),Rosewood (1997)
Beauty and the Beast (1991),3.792079207920792,202,Amistad (1997),Kiss the Girls (1997),"Hunchback of Notre Dame, The (1996)","Lion King, The (1994)"
Beavis and Butt-head Do America (1996),2.7884615384615383,156,"Ice Storm, The (1997)",James and the Giant Peach (1996),"Devil's Advocate, The (1997)",GoodFellas (1990)
Bed of Roses (1996),3.2333333333333334,60,Some Like It Hot (1959),Jungle2Jungle (1997),"Ice Storm, The (1997)",Gone with the Wind (1939)
Bedknobs and Broomsticks (1971),3.0701754385964914,57,Con Air (1997),Good Will Hunting (1997),Tombstone (1993),Jackie Brown (1997)
Before Sunrise (1995),3.4081632653061225,49,"Frighteners, The (1996)",Donnie Brasco (1997),Mr. Smith Goes to Washington (1939),12 Angry Men (1957)
Before and After (1996),2.8461538461538463,26,"Edge, The (1997)",Harold and Maude (1971),Being There (1979),Patton (1970)
Before the Rain (Pred dozhdot) (1994),3.8,10,Sling Blade (1996),"Crow, The (1994)",Rosewood (1997),Bram Stoker's Dracula (1992)
Being Human (1993),1.75,4,Army of Darkness (1993),"Lion King, The (1994)",M*A*S*H (1970),Henry V (1989)
Being There (1979),3.9051724137931036,116,Ulee's Gold (1997),Pinocchio (1940),Dumbo (1941),Welcome to the Dollhouse (1995)
"Believers, The (1987)",2.25,16,My Fair Lady (1964),"Ghost and the Darkness, The (1996)",Emma (1996),"Devil's Advocate, The (1997)"
Belle de jour (1967),3.945945945945946,37,Benny & Joon (1993),Ulee's Gold (1997),"Magnificent Seven, The (1954)",Stargate (1994)
Ben-Hur (1959),3.8306451612903225,124,Cop Land (1997),"Wrong Trousers, The (1993)","Manchurian Candidate, The (1962)","Great Escape, The (1963)"
Benny & Joon (1993),3.4607843137254903,102,Fly Away Home (1996),"Rainmaker, The (1997)","Last of the Mohicans, The (1992)",Good Will Hunting (1997)
Bent (1997),2.6666666666666665,6,"Devil's Own, The (1997)","Edge, The (1997)",Evita (1996),Event Horizon (1997)
Best Men (1997),3.4,5,"Boot, Das (1981)",Star Trek: First Contact (1996),"Nightmare Before Christmas, The (1993)",James and the Giant Peach (1996)
Best of the Best 3: No Turning Back (1995),1.5,6,Swingers (1996),Reservoir Dogs (1992),Heat (1995),Happy Gilmore (1996)
Better Off Dead... (1985),3.569620253164557,79,"Ice Storm, The (1997)","Rainmaker, The (1997)","Edge, The (1997)",G.I. Jane (1997)
"Beverly Hillbillies, The (1993)",2.25,20,Wag the Dog (1997),Jungle2Jungle (1997),Chasing Amy (1997),Mother (1996)
Beverly Hills Cop III (1994),2.392857142857143,28,Mother (1996),Jungle2Jungle (1997),"Net, The (1995)",Gone with the Wind (1939)
Beverly Hills Ninja (1997),2.3125,48,Young Guns (1988),Kolya (1996),G.I. Jane (1997),Seven Years in Tibet (1997)
"Bewegte Mann, Der (1994)",3.6666666666666665,3,Ransom (1996),Apt Pupil (1998),Aliens (1986),Aladdin (1992)
Beyond Bedlam (1993),1.0,2,,,,
Beyond Rangoon (1995),3.0555555555555554,18,Volcano (1997),Jackie Brown (1997),Waterworld (1995),Ulee's Gold (1997)
Bhaji on the Beach (1993),2.875,8,"Magnificent Seven, The (1954)","Killing Fields, The (1984)",Jackie Chan's First Strike (1996),It's a Wonderful Life (1946)
"Big Bang Theory, The (1994)",4.0,1,,,,
"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059,17,Patton (1970),What's Eating Gilbert Grape (1993),Kiss the Girls (1997),Grosse Pointe Blank (1997)
Big Bully (1996),1.8571428571428572,14,Stargate (1994),Real Genius (1985),Patton (1970),Seven Years in Tibet (1997)
"Big Green, The (1995)",2.5,14,Patton (1970),Chinatown (1974),Nikita (La Femme Nikita) (1990),Bonnie and Clyde (1967)
"Big Lebowski, The (1998)",3.8333333333333335,42,Tin Cup (1996),True Romance (1993),"Abyss, The (1989)",Clerks (1994)
Big Night (1996),3.9005847953216373,171,Conan the Barbarian (1981),Lost Highway (1997),"Ice Storm, The (1997)",Wag the Dog (1997)
"Big One, The (1997)",3.0,1,,,,
"Big Sleep, The (1946)",4.027397260273973,73,Seven Years in Tibet (1997),"Wrong Trousers, The (1993)",Tin Cup (1996),Amistad (1997)
"Big Squeeze, The (1996)",2.25,4,Broken Arrow (1996),Down Periscope (1996),Kingpin (1996),Willy Wonka and the Chocolate Factory (1971)
Billy Madison (1995),3.081081081081081,37,Secrets & Lies (1996),"Killing Fields, The (1984)",Alien: Resurrection (1997),Bonnie and Clyde (1967)
Bio-Dome (1996),1.903225806451613,31,"Great Escape, The (1963)",Alien: Resurrection (1997),"Edge, The (1997)","Ice Storm, The (1997)"
Bird of Prey (1996),1.0,1,,,,
"Birdcage, The (1996)",3.4436860068259385,293,Philadelphia (1993),"Sex, Lies, and Videotape (1989)",My Fair Lady (1964),Army of Darkness (1993)
"Birds, The (1963)",3.808641975308642,162,G.I. Jane (1997),Swingers (1996),"Cable Guy, The (1996)",Mimic (1997)
Bitter Moon (1992),3.3,10,"Great Escape, The (1963)",Men in Black (1997),Star Trek: The Motion Picture (1979),Austin Powers: International Man of Mystery (1997)
Bitter Sugar (Azucar Amargo) (1996),4.333333333333333,3,"Adventures of Priscilla, Queen of the Desert, The (1994)","Birdcage, The (1996)",Apollo 13 (1995),Toy Story (1995)
Black Beauty (1994),3.4444444444444446,27,"Rainmaker, The (1997)",Cold Comfort Farm (1995),Rosewood (1997),Boogie Nights (1997)
Black Sheep (1996),2.6363636363636362,55,Cool Hand Luke (1967),Air Force One (1997),Gattaca (1997),Being There (1979)
Blade Runner (1982),4.138181818181818,275,"Devil's Advocate, The (1997)",Ulee's Gold (1997),William Shakespeare's Romeo and Juliet (1996),"Wrong Trousers, The (1993)"
Blink (1994),3.0,19,Dante's Peak (1997),"Hunchback of Notre Dame, The (1996)",Arsenic and Old Lace (1944),Down Periscope (1996)
Bliss (1997),2.5714285714285716,7,Butch Cassidy and the Sundance Kid (1969),Dante's Peak (1997),"Close Shave, A (1995)",Field of Dreams (1989)
"Blob, The (1958)",2.717391304347826,46,Big Night (1996),Swingers (1996),Sling Blade (1996),Leaving Las Vegas (1995)
Blood & Wine (1997),2.8636363636363638,22,"Net, The (1995)",Batman Forever (1995),Harold and Maude (1971),Interview with the Vampire (1994)
Blood Beach (1981),2.1666666666666665,6,George of the Jungle (1997),Fried Green Tomatoes (1991),"Devil's Own, The (1997)","Deer Hunter, The (1978)"
Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,5,Beauty and the Beast (1991),Being There (1979),Bonnie and Clyde (1967),"Birds, The (1963)"
Bloodsport 2 (1995),1.7,10,"Ghost and the Darkness, The (1996)",Michael (1996),"Lost World: Jurassic Park, The (1997)",Jungle2Jungle (1997)
"Bloody Child, The (1996)",1.0,1,,,,
Blown Away (1994),2.7586206896551726,29,"Peacemaker, The (1997)","Full Monty, The (1997)",Kolya (1996),Maverick (1994)
"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,18,Emma (1996),"People vs. Larry Flynt, The (1996)",Phenomenon (1996),"Long Kiss Goodnight, The (1996)"
Blue Chips (1994),2.6666666666666665,9,Mimic (1997),Gandhi (1982),"Sex, Lies, and Videotape (1989)","Remains of the Day, The (1993)"
Blue Sky (1994),3.4166666666666665,12,Father of the Bride Part II (1995),"Maltese Falcon, The (1941)",Seven Years in Tibet (1997),Dragonheart (1996)
Blue in the Face (1995),3.1777777777777776,45,"Good, The Bad and The Ugly, The (1966)","Peacemaker, The (1997)",Kiss the Girls (1997),G.I. Jane (1997)
Blues Brothers 2000 (1998),2.8214285714285716,28,Pink Floyd - The Wall (1982),Raging Bull (1980),Bound (1996),Bonnie and Clyde (1967)
"Blues Brothers, The (1980)",3.8366533864541834,251,"Game, The (1997)",As Good As It Gets (1997),"Edge, The (1997)",Philadelphia (1993)
Bob Roberts (1992),3.7411764705882353,85,Ulee's Gold (1997),Alien: Resurrection (1997),12 Angry Men (1957),GoldenEye (1995)
Body Parts (1991),1.6153846153846154,13,Father of the Bride Part II (1995),"Time to Kill, A (1996)",My Best Friend's Wedding (1997),Mr. Holland's Opus (1995)
"Body Snatcher, The (1945)",3.5,22,My Best Friend's Wedding (1997),Cold Comfort Farm (1995),Amistad (1997),Michael (1996)
Body Snatchers (1993),2.971014492753623,69,True Romance (1993),"Peacemaker, The (1997)","Hunchback of Notre Dame, The (1996)",Bound (1996)
Bogus (1996),2.5454545454545454,22,"Sex, Lies, and Videotape (1989)",Pink Floyd - The Wall (1982),"Magnificent Seven, The (1954)",In the Name of the Father (1993)
"Bonheur, Le (1965)",2.0,4,Cold Comfort Farm (1995),Fly Away Home (1996),"Devil's Advocate, The (1997)",Rosewood (1997)
Bonnie and Clyde (1967),3.819672131147541,122,GoodFellas (1990),True Romance (1993),Chinatown (1974),Multiplicity (1996)
Boogie Nights (1997),3.5873015873015874,189,"Clockwork Orange, A (1971)",Dead Man Walking (1995),What's Eating Gilbert Grape (1993),"People vs. Larry Flynt, The (1996)"
